id,title,artist,danceability,decade,Track URI,Genre
SOAKLHF13E9053D7E1,We Are the World,U.S.A. for Africa,0.473981,1980s,http://dbpedia.org/resource/We_Are_the_World,Electronic Pop
SOCLLVF1315CD467C7,I Just Called To Say I Love You,Stevie Wonder,0.739303,1980s,http://dbpedia.org/resource/I_Just_Called_to_Say_I_Love_You,Electronic Funk/Soul Stage&Screen 
SOOEBZE141BE199B38,When Doves Cry,Prince,0.445826,1980s,http://dbpedia.org/resource/When_Doves_Cry,Funk/Soul Pop
SOACCJA14F7D43BB42,Another Day In Paradise,Phil Collins,0.553092,1980s,http://dbpedia.org/resource/Another_Day_in_Paradise,Electronic Rock
SODGNZT139E0A819A6,(Just Like) Starting Over,John Lennon,0.689814,1980s,http://dbpedia.org/resource/(Just_Like)_Starting_Over,Rock
SOBOXUL146044A27E7,Karma Chameleon,Culture Club,0.674871,1980s,http://dbpedia.org/resource/Karma_Chameleon,Electronic Pop
SOZWMKN1513A5319B6,Upside Down,Diana Ross,0.853097,1980s,http://dbpedia.org/resource/Upside_Down_(Diana_Ross_song),Funk/Soul
SORWRAA130516E430B,Don't You Want Me,The Human League,0.668896,1980s,http://dbpedia.org/resource/Don%27t_You_Want_Me,Electronic Pop
SOVRFYF133F14614C1,Funkytown,"Lipps, Inc.",0.894554,1980s,http://dbpedia.org/resource/Funkytown,Electronic
SOBDZXV13E907C7445,Beat It,Michael Jackson,0.662364,1980s,http://dbpedia.org/resource/Beat_It,Rock
SOCCIUE13A18D28BFC,Call Me,Blondie,0.547818,1980s,http://dbpedia.org/resource/Call_Me_(Blondie_song),Rock Stage&Screen
SOJGKNY14BAA60F468,Ebony And Ivory,Paul McCartney,0.671647,1980s,http://dbpedia.org/resource/Ebony_and_Ivory,Rock
SOCBNAP1506B10DAD5,Faith,George Michael,0.820484,1980s,http://dbpedia.org/resource/Faith_(George_Michael_song),Electronic Rock Funk/Soul Pop
SOVSULA1446C681962,Take My Breath Away,Berlin,0.225704,1980s,http://dbpedia.org/resource/Take_My_Breath_Away,Electronic Pop Stage&Screen
SOPWWVE1478D1CC5F1,What's Love Got To Do With It,Tina Turner,0.622897,1980s,http://dbpedia.org/resource/What%27s_Love_Got_to_Do_with_It_(song),Rock Funk/Soul Pop
SOIQTUA14FE165E831,Take On Me,a-ha,0.508656,1980s,http://dbpedia.org/resource/Take_On_Me,Electronic Pop
SORKXXR13D66FAE545,Physical,Olivia Newton-John,0.795677,1980s,http://dbpedia.org/resource/Physical_(Olivia_Newton-John_song),Electronic Rock
SOCGEQX1366639B591,Let's Dance,David Bowie,0.627777,1980s,http://dbpedia.org/resource/Let%27s_Dance_(David_Bowie_song),Rock Pop
SOIRKEA150506A6190,Girls Just Wanna Have Fun,Cyndi Lauper,0.650888,1980s,http://dbpedia.org/resource/Girls_Just_Want_to_Have_Fun,Pop
SOGYDVT13E908BC14D,Down Under,Men at Work,0.707094,1980s,http://dbpedia.org/resource/Down_Under_(song),Rock Pop
SOAHWZJ144B0463840,Endless Love,Diana Ross,0.466496,1980s,http://dbpedia.org/resource/Endless_Love_(song),Funk/Soul
SOQJIRN12A6310E1FC,With Or Without You,U2,0.454321,1980s,http://dbpedia.org/resource/With_or_Without_You,Rock
SOLIJDC13129A92C85,(I've Had) The Time of My Life,Bill Medley & Jennifer Warnes,0.700871,1980s,http://dbpedia.org/resource/(I%27ve_Had)_The_Time_of_My_Life,Rock Funk/Soul Pop
SOYWKZY133EB87E347,Centerfold,The J. Geils Band,0.603754,1980s,http://dbpedia.org/resource/Centerfold_(song),Rock
SOHVUYU1448EE564B0,Stars On 45: Beatles Medley,Starsound,0.725789,1980s,http://dbpedia.org/resource/Stars_on_45_(song),Electronic Rock
